sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,diff,delta_diff
0,mean,502.4377424575895,200.0,0.0005535037688496654,,1.0,,,,,
0,var,505.9899642446404,147.012282514967,0.8702027257515335,,,0.42789308519353875,,,,
0,delta_mean,331.56420720312167,134.15628768740996,0.8921935513763365,0.001332472318636217,,,-0.6950350810563959,,,
0,delta_var,279.8027120570061,200.0,0.9374280049423002,0.00718236115001901,,,,-1.0,,
0,diff,675.1665023419488,93.92704428294276,0.03888322158596935,,,,,,-0.010541804026722895,
0,delta_diff,476.1432208257352,200.0,0.0006993988900962933,0.0,,,,,,1.0
0,mean + var,441.6717060890845,200.0,0.008632800611475857,,-0.07347770661439204,-1.0,,,,
0,mean + delta_mean,308.2921375252797,109.72823320311387,0.8773276074415676,0.0018544828292728485,-0.016647066683757344,,-0.8245991352519646,,,
0,mean + delta_var,260.7296037214496,200.0,0.9287920997564943,0.008487231012484364,-0.00835819191036955,,,-1.0,,
0,mean + diff,426.9324362746519,200.0,0.0009070113632242387,,1.0,,,,-0.01202581478114597,
0,mean + delta_diff,470.9669508432693,200.0,0.0011722013661020568,0.0,-0.3891950328079972,,,,,1.0
0,var + delta_mean,296.8456430204179,180.94163618515913,0.3039513521768806,0.00819234144132584,,-0.3760102562061664,-0.33886571853868996,,,
0,var + delta_var,281.1068633365501,200.0,0.8805848108786357,0.007638265587701678,,-0.6489709053045484,,-1.0,,
0,var + diff,490.81282407402455,200.0,0.8811080840978006,,,1.0,,,-0.07738809256577399,
0,var + delta_diff,343.4026815064071,200.0,0.964229320058268,0.005153634379275811,,1.0,,,,-0.12022685374004499
0,delta_mean + delta_var,200.22268200246413,200.0,0.9495597959481447,0.024696039801344587,,,0.24013994040934358,-1.0,,
0,delta_mean + diff,274.80982079506487,200.0,0.7427720991312952,0.001020715825923287,,,-1.0,,-0.2262412702942447,
0,delta_mean + delta_diff,703.1471805599454,200.0,0.506831253621792,0.0021594499563049587,,,-1.0,,,0.46718375457022127
0,delta_var + diff,257.12066429304866,200.0,0.8553821648290891,0.008181416441410112,,,,-1.0,-0.09997534604510847,
0,delta_var + delta_diff,201.4951565880926,200.0,0.7567754928838897,0.028983586369396026,,,,-1.0,,0.22357299164873926
0,diff + delta_diff,426.9802392804845,200.0,0.0009011809630986963,0.0,,,,,-0.00885799739001552,1.0
0,mean + var + delta_mean,283.70415408378,86.13339992368488,0.3242634580378545,0.007758323629404448,-0.02570537569125493,-0.9848466854484262,-0.8475041328636919,,,
0,mean + var + delta_var,261.81647136154584,200.0,0.8569467472185163,0.009188582999042303,-0.008434199131248299,-0.6972875273229607,,-1.0,,
0,mean + var + diff,408.32222559064894,200.0,0.006689571883021655,,0.016286159637892064,-1.0,,,-0.009485168464804978,
0,mean + var + delta_diff,495.63971040498944,200.0,0.9594818062606055,0.006202449783792308,-0.008544847670078525,1.0,,,,-0.13249907261789637
0,mean + delta_mean + delta_var,202.21958811910486,200.0,0.9493909910644363,0.02470404860702785,-0.00014224613119387212,,0.23980893557305405,-1.0,,
0,mean + delta_mean + diff,276.53974990812355,200.0,0.7523201162468292,0.0010232040320935886,-0.0016875818414303835,,-1.0,,-0.21642015671879453,
0,mean + delta_mean + delta_diff,705.1471805599454,51.36338564348946,0.0,1.0,-1.0,,-1.0,,,-1.0
0,mean + delta_var + diff,250.63975182314113,200.0,0.8635534694589644,0.008942431838425906,-0.006159741769332349,,,-1.0,-0.09055858667436129,
0,mean + delta_var + delta_diff,203.4951237237642,200.0,0.7567333826323513,0.02898666980771132,1.4854374469824023e-05,,,-1.0,,0.22361931358344556
0,mean + diff + delta_diff,414.5313255402431,200.0,0.03868593781371664,0.9116062364843466,0.04767452462834239,,,,-0.01597868317024178,-1.0
0,var + delta_mean + delta_var,202.0210363348633,200.0,0.9702469297315633,0.02422164843115634,,1.0,0.2406222401764286,-1.0,,
0,var + delta_mean + diff,267.18274916004,165.02187199230477,0.5504169458904556,0.0019451998399606831,,-0.8622483174419334,-0.9999999785593506,,-0.08954127822379641,
0,var + delta_mean + delta_diff,507.1329307885247,200.0,0.029693250597303055,0.0,,-0.7743046828864669,-1.0,,,0.7618199795188605
0,var + delta_var + diff,257.3040131212954,200.0,0.8852609779035416,0.007937343227505295,,1.0,,-1.0,-0.17824873574988834,
0,var + delta_var + delta_diff,202.04150766717817,200.0,0.8745905079510643,0.02659437215008147,,1.0,,-1.0,,0.2334648644634595
0,var + diff + delta_diff,343.9321543838593,200.0,0.9229801186140419,0.010662680770294449,,1.0,,,-0.042097555816138624,-0.06781983956688437
0,delta_mean + delta_var + diff,201.0599774898257,200.0,0.9107187884788347,0.024880191971421564,,,0.23288592828754975,-1.0,-0.03345062320352246,
0,delta_mean + delta_var + delta_diff,705.1471805599454,46.57620393593255,0.0,1.0,,,0.8082106366955746,-1.0,,1.0
0,delta_mean + diff + delta_diff,271.9107127163636,200.0,0.7135293059673493,0.0011914513023830043,,,-1.0,,-0.18932968890112178,0.07621754763273288
0,delta_var + diff + delta_diff,198.9074384159495,200.0,0.7375994508641744,0.02730768887143802,,,,-1.0,-0.03845634758097524,0.2036482531009667
0,mean + var + delta_mean + delta_var,204.0209992205521,200.0,0.9702267264766397,0.024222888641102936,-1.5408556558904353e-05,1.0,0.24058843696593432,-1.0,,
0,mean + var + delta_mean + diff,268.99208988549265,168.09974275279126,0.5506518981480101,0.0018941904211975818,0.0020801175677810126,-0.8409596944437459,-0.9999621318323274,,-0.09786738435119205,
