index,sid,form,group,aicc,step,scale,comp,unc,∆comp,∆unc,PC1,PC2
0,0,unc + ∆comp + ∆unc,0,201.4222099173554,0.9839008146434752,0.013794432099656856,,1.0,0.16009244927997526,-0.9988012677651196,-0.6456096814037581,-1.2262605865640754
1,1,comp + ∆comp,0,606.6246790123457,0.25314442876563753,0.07238136845793842,-0.0019457871900582266,,0.01173400742639975,,0.04509607928167208,-0.027935122442016416
2,2,comp + ∆comp + ∆unc,0,266.25260991735536,0.0037773636782297,0.0014951618272489404,0.24306744710575456,,-0.08964811691679299,-1.0,-0.8746328255874591,-0.21180926092490482
3,3,comp + ∆unc,0,481.7568790123457,0.3249645889397865,0.4264609871892802,-0.012769520854846316,,,0.16479909364124562,0.2024017703925248,0.011385459675124313
4,4,comp + ∆comp,0,567.5012790123458,0.9200377216229372,0.24924948801749264,0.01006082218288832,,0.003986600666948209,,0.04671763435754614,-0.025288657755685687
5,5,comp + ∆unc,0,459.55347901234563,0.10968921504666404,0.17799130647131514,-0.011534379406520608,,,0.3510355775724639,0.3779046234684982,0.05292429041608459
6,6,unc + ∆comp + ∆unc,0,366.82460991735536,0.16522784020780584,0.8615831200010413,,0.0620891026368082,-0.778189816722391,0.9652695234265776,1.1189082635015681,0.34007780876565236
7,7,comp + unc + ∆comp + ∆unc,0,344.619910373444,0.6195669733265025,0.4930519415414446,0.0024601532730604307,-0.0164231183430223,0.02425539810948274,0.08774180780443139,0.12094267586867985,0.003850306607856974
8,8,∆unc,0,586.2109016393442,1.0,0.377026905659456,,,,-0.01893195542108669,0.02946965362461741,-0.02892304725870475
9,9,∆unc,0,644.9607016393443,0.8057973150407957,0.03436987262210347,,,,0.016416272567175497,0.0627770926705812,-0.021050110087550165
10,11,comp + unc + ∆comp + ∆unc,0,662.6535103734442,0.4909683822795442,0.6964233659135611,0.003518032421033409,0.0333053065278925,-0.039106500102497006,0.11747947648002788,0.17459391084012393,-0.019107207021503567
11,12,comp + ∆comp + ∆unc,0,400.74780991735537,0.07094540505657054,0.0,-0.9808554297494944,,0.9886187290053464,-0.04148572440959706,-0.19043857004515763,-0.34518844769229307
12,13,comp + ∆comp,0,655.0340790123457,0.5068055249154041,0.8142756614989376,-0.0009712504881069686,,0.036709029673612316,,0.04046358999671889,-0.03456158305505871
13,14,comp + ∆comp + ∆unc,0,268.4946099173553,0.07567832385642873,0.2059366599645928,0.02215480063777232,,-0.2824638071887707,0.9999974943650116,1.042462527480927,0.2745550548732099
14,16,comp + unc + ∆unc,0,232.4488099173554,0.21970573113037645,0.40193201916896987,0.1460521710274897,0.3480781593373464,,1.0,1.0885323584203246,-0.120882535366535
15,17,comp + unc + ∆unc,0,593.1330099173554,0.6784714023625193,0.9865405370626474,0.0017130355694077687,-0.003725347196445317,,1.0,0.9885647636781323,0.20158901341879457
16,18,comp + ∆unc,0,410.4040790123457,0.6582451782733394,0.7120931534674283,0.010070734905207738,,,0.15066059985826072,0.18942195408220472,0.009332919966726224
17,20,comp + unc + ∆comp,0,444.48380991735536,0.2637883932039617,0.0,0.1256664582565379,1.0,0.39959846935889065,,0.2528460202746267,-1.061765027585812
18,21,comp + unc + ∆comp + ∆unc,0,203.602910373444,0.13863162524419714,0.10599000109185218,0.1908651833159106,0.11715693313995106,0.7312387252208119,-0.9999999532361324,-0.9955872533151187,-0.5433498733827185
19,22,comp + unc + ∆unc,0,297.47720991735537,0.6727798982211114,0.027695135533958613,-0.0023024861422859463,-0.3280938026752162,,-0.3697436696762991,-0.3923351590212714,0.2000326028181333
20,25,comp + unc + ∆comp,0,599.7520099173554,0.04141108447861447,0.0,-0.9933002469127004,-0.07105695413467815,0.96098114468207,,-0.16614633191596476,-0.2626292448699827
21,26,unc + ∆comp,0,529.5524790123458,0.8756831107475819,0.0012487124691297222,,-0.8273319988658724,-0.8418101876504056,,-0.026059770166122962,0.9748698873861084
22,27,comp + ∆unc,0,565.1788790123458,0.9530087565363008,0.5143043325399461,0.0024634357683431664,,,-0.010601829600371466,0.037355779700641745,-0.026949460827579153
23,30,comp + unc + ∆unc,0,220.9832099173554,0.20499225633093726,0.8025003053795459,0.002891207608850884,-0.3720751269246991,,-1.0,-0.9983536148360614,0.10108862078614644
24,32,comp + ∆comp,0,245.21427901234568,0.08392945082874602,0.1839489843269464,0.031786804100544894,,0.035451024717424916,,0.04118875665698945,-0.03265288197275851
25,33,comp + ∆unc,0,496.3836790123457,0.33880544067053875,0.961082186676524,-0.002344705195037255,,,-1.0,-0.8949927158139218,-0.247544072027268
26,34,comp + ∆unc,0,441.7584790123457,0.35531257571287417,0.032489579260266216,0.034188113512624976,,,-0.11578929257053305,-0.06128320904177636,-0.04885438917697957
27,35,comp + unc + ∆comp + ∆unc,0,428.819310373444,0.6584665806269611,0.016898816737287988,-0.003699795262570968,-0.9976323691751748,-0.05198176073330469,-0.9075771501983466,-1.0756023896148512,0.7209681446394757
28,37,unc + ∆comp,0,580.5770790123457,0.17846295745376653,0.9657479190177676,,0.01129811206691399,0.32237174032024624,,-0.009534119815898679,-0.12142174051037133
29,39,comp + ∆comp + ∆unc,0,204.6902099173554,0.5293787824660672,0.5365936108766487,-0.03797422204752835,,0.03252516504709927,0.2207185243277344,0.24866295025887417,0.013939538841548249
30,41,comp + unc + ∆unc,0,619.7712099173552,0.014950318674304975,0.7943499235318782,0.05688607196901276,-0.06884845076343815,,-1.0,-0.9132450954858484,-0.1802364962967691
31,42,comp + unc,0,559.2567016393443,0.9975430042675276,,0.001976801321228851,1.0,,,0.325344968908097,-0.9609314141327026
32,43,comp + unc,0,644.9295016393443,0.1812501245412204,,0.009234997424921496,0.028929244021060268,,,0.055489565110963555,-0.05135012175300044
33,45,comp + unc + ∆unc,0,527.6280099173554,0.3300688490738595,0.9707297998423036,-0.015400515806230343,-0.024782570172305764,,1.0,0.9824541572940954,0.22048376569212175
34,46,comp,0,378.4038653061224,8.49726893862446e-05,,1.0,,,,0.062300017466527566,0.023299059214687626
35,47,unc,0,652.1438653061224,0.9986648832653192,,,1.0,,,0.3253153338434858,-0.9610263114389676
36,48,comp + unc + ∆comp + ∆unc,0,298.57311037344397,0.4147761224961274,0.3321420004392229,0.020301700356562247,-0.10845306254144628,-0.04368951365577276,-0.04530434254388898,-0.01709718338801202,0.07939820680910034
37,49,∆unc,0,430.08050163934433,0.3001163742045493,0.2747123749162336,,,,-0.0507576435420309,-0.0005186153074546433,-0.036011426429738626
38,50,comp + ∆unc,0,472.97567901234567,0.400328074609738,0.7884868643535831,0.00697762752725519,,,0.2011361804017565,0.23693701544912296,0.020426611939196294
39,51,comp + unc + ∆unc,0,143.92100991735538,0.2347756790909516,0.17202087103528876,0.004874592634026507,-0.07205694565743112,,0.1324642361045746,0.15216592221245903,0.07249904104287307
40,52,unc + ∆comp,0,575.8222790123457,0.067156585930019,0.8555383877613101,,-0.16459754732647744,-0.999920349449548,,0.18760440991878183,0.39658495622496054
41,53,comp + ∆comp + ∆unc,0,254.4112099173554,0.3691399033966036,0.8596773247096132,0.003953310258432859,,0.3210244304939027,-0.2077208907475224,-0.20809347766725947,-0.1565579697502769
42,54,comp + unc,0,143.01510163934427,0.01897445191748131,,-0.05661942425885282,-0.9999997781145324,,,-0.23154688877419635,0.9088952090960922
43,55,comp + ∆comp,0,589.8070790123458,0.06898456553195492,0.0,-0.9095884698621972,,0.9045364980758068,,-0.13463441346028357,-0.31006083583305394
44,56,comp + unc,0,501.9853016393442,0.01346013748815703,,0.039423253449303385,0.07912357819944398,,,0.06989649319937441,-0.09689887311591758
45,57,comp + unc,0,588.0153016393442,0.035930903272848695,,-0.09056654778314327,-0.1576181663578011,,,0.0021319606584601393,0.11852690660729932
46,58,comp + ∆comp,0,541.3202790123456,1.0,0.04043620302551812,0.014962352744258691,,0.0222219151886432,,0.04339807279382584,-0.029925773408365892
47,59,comp + ∆comp + ∆unc,0,512.7650099173555,0.5530501640482134,0.8322131343628921,0.030032933802207968,,0.1148507881253633,0.3775570885581904,0.38214782849882584,0.030139002835177404
48,60,comp + ∆comp + ∆unc,0,43.024209917355364,0.6057366414826626,0.161869075335461,0.07463212197168324,,0.7113898800758405,-1.0,-1.0262069414205928,-0.4339297959755437
49,61,∆unc,0,492.0949016393442,0.10530607645096283,0.9121017739939452,,,,1.0,0.9895747544642425,0.1980186616545595
50,62,comp + unc,0,604.1559016393443,0.9979647839744712,,0.0017160227627317224,1.0,,,0.3253410594664413,-0.9609439329338928
51,63,comp,0,273.64126530612253,0.9106023808778384,,0.9406594760041204,,,,0.06141041857573602,0.020450388577384404
52,64,unc + ∆comp + ∆unc,0,230.65300991735538,0.12098258936917705,0.11831181172203893,,0.13082733175172967,-0.09706261528679233,0.4432086230152801,0.5193603892771324,-0.022554167546877738
53,65,comp + unc + ∆comp + ∆unc,0,348.25631037344397,0.434342807744489,0.07079031089957634,0.08206553699861369,0.9521494692394884,0.10167084722403152,0.9999918314612436,1.2365834253028443,-0.7167261595456234
54,66,comp + ∆unc,0,286.8822790123457,0.5923927179711814,0.20245852218471846,-0.00288787260143807,,,0.06775947014556574,0.11111275697056816,-0.009753325640084153
55,67,comp + ∆unc,0,494.81607901234565,1.0,0.21710326053888016,0.013148096129767736,,,0.048148126177128936,0.09287405318782886,-0.013351449484045569
56,68,comp + unc + ∆comp + ∆unc,0,235.34891037344397,0.9646757502306924,0.3893671445930037,0.0002209728592524667,1.0,-0.09948281055016532,0.14455661847501233,0.48004020928554236,-0.9022378385777431
57,69,comp + unc + ∆comp + ∆unc,0,260.15711037344397,0.26613729409764303,0.927025495472298,0.0077489171835181956,-0.06669849782932702,0.18938789412645413,-1.0,-0.9486234095298253,-0.23521221472719347
58,72,comp + unc + ∆comp + ∆unc,0,457.10711037344396,0.09849816582362277,0.8107351234810449,0.01199464730872436,-0.041363831102607586,0.4502059598439922,-1.0,-0.9900469337546107,-0.32841947712269914
59,73,comp + ∆comp + ∆unc,0,381.53620991735534,0.0012765609739846988,0.12138334471687914,0.2868752259477805,,-0.3242548263815301,1.0,1.0542094735347387,0.2984300681008406
60,74,comp + ∆comp + ∆unc,0,370.83680991735537,0.4679577780037861,0.01784764863603968,0.004521327166349364,,-0.03516156969705927,0.010144556950554308,0.06347775687697235,-0.01283487433135556
61,75,comp + ∆comp + ∆unc,0,523.7494099173554,0.8869103958816112,0.10622369071237166,0.0008423245792199338,,0.023098677959638284,-0.020827836661781063,0.02339788868070607,-0.035476762077803044
62,77,comp + unc,0,631.6339016393442,0.9986960969938856,,0.002486999615243102,1.0,,,0.3253526175064894,-0.9609069218161287
63,78,comp + unc,0,431.05050163934425,0.06285861745540103,,-0.012323184526388349,-0.022799641740213903,,,0.04078539843088399,-0.003950248335671858
64,79,comp + unc + ∆comp,0,489.68260991735536,0.005091641160775099,0.00013688265677528862,-0.06188902098220452,-1.0,-0.004827743319241675,,-0.23072765167316747,0.9099324044258675
65,80,comp + unc + ∆comp,0,621.4934099173554,0.4692463743666212,0.4529927289255497,0.001434910051905442,0.009214932620229694,0.003317497937493319,,0.04927463288474303,-0.03415209146190523
66,81,∆comp + ∆unc,0,261.83367901234567,0.5549579025755168,0.6162972091737297,,,0.8846894801924419,-1.0,-1.0595716160365003,-0.48381762979410464
67,83,comp + unc,0,557.4997016393444,0.02095717379117807,,-0.06016052309601561,-0.3031232742033208,,,-0.037863610347917936,0.2562258885039775
68,85,comp + ∆comp + ∆unc,0,314.11840991735534,0.06752881553334211,1.0870135671599e-07,0.007783654510787071,,0.07213065123026538,-0.2735593361262305,-0.22376176296069364,-0.10453436732797954
69,88,comp + unc + ∆unc,0,425.42060991735536,0.036938859578322235,0.7715266826145343,-0.01033334256284668,-0.3427125703261697,,-1.0,-0.9903888810434298,0.07296102420515488
70,89,comp + unc + ∆unc,0,414.71000991735536,0.7413309460842232,0.009790799045997122,0.004746888159731471,0.9649168198172716,,0.9324580396233932,1.1942567921939864,-0.720267557062973
71,90,comp + ∆comp + ∆unc,0,311.4234099173553,0.02959299037164984,0.9376522113631014,0.019614337157068548,,0.2918562792211314,-0.9998644694386756,-0.9488414706553607,-0.3244427684321513
72,91,comp + ∆comp + ∆unc,0,203.6142099173554,0.9901981890201844,0.8490745193878987,0.015910398060396787,,-0.8343430319027861,1.0,1.1450593679063543,0.4217161592784881
73,92,unc + ∆comp + ∆unc,0,96.91760991735536,0.09402059486339932,0.1079078907822602,,-1.0,-0.11655604931559205,-0.7798433579194919,-0.9438305827514143,0.7690661723025406
74,93,comp,0,243.57726530612243,0.0006062715863857106,,1.0,,,,0.062300017466527566,0.023299059214687626
75,94,unc + ∆comp + ∆unc,0,501.9882099173553,0.4407619572085412,0.7872003568345248,,0.20300745688731686,-0.3067078090877909,1.0,1.1030812757304118,0.08989005966981496
76,95,comp + unc + ∆comp + ∆unc,0,463.40531037344397,0.14060772684884715,0.6099865553537193,0.0004229358182849293,-0.21830538758029414,0.2479607418153472,-1.0,-1.0017796152531553,-0.10926182841235944
77,97,comp + ∆comp,0,202.2928790123457,0.014553322409599459,0.0,-0.2875726246078602,,0.9294703990039784,,-0.12994895840731152,-0.28686291971440003
78,98,comp + unc + ∆comp + ∆unc,0,327.05571037344396,0.5531755487149796,0.1955240330836816,0.004014863076987953,0.2998569381652416,-0.05580482041007637,0.3963195582681768,0.5145531362732461,-0.202094531846364
79,99,comp + ∆comp + ∆unc,0,624.9964099173553,0.0025516481074339004,0.0,0.5177469694161984,,-0.4989305231381652,-1.0,-0.7943598673057637,-0.08926422574715656
80,100,comp + unc + ∆comp,0,643.0438099173554,0.2529365213565079,0.8799078734253338,0.00403170047424053,0.011046064967926927,0.1657307047865914,,0.019602426396121947,-0.07913823107154075
81,101,comp + unc,0,641.6931016393443,0.3025478015794397,,-0.006458924998124146,-0.012347407068405413,,,0.04377910370486155,-0.013455366884834766
82,102,unc,0,494.86886530612253,0.9930299757856283,,,-1.0,,,-0.23069814472599212,0.9116134597764367
83,103,comp + unc,0,477.77590163934417,0.3909378743560736,,0.0035626571688132454,-0.0059468861502646785,,,0.04570872943150726,-0.018967210985886298
84,104,unc + ∆comp + ∆unc,0,275.5744099173553,0.15982205950282954,0.5679828200012278,,-0.05523347344099865,0.6048428474573341,-0.9999811032914928,-1.0228380634452636,-0.3573231225509398
85,108,comp + unc + ∆comp + ∆unc,0,518.3863103734442,0.0238869335735153,0.4478488213843214,0.019303178307288345,-0.4663210062007489,0.06651795146669037,-1.0,-1.0366855517710956,0.17234739866552123
86,109,unc + ∆comp + ∆unc,0,288.83820991735536,0.005909367243543965,0.3752156448413741,,-1.0,-0.2226318739227476,1.0,0.7529930975384591,1.1938250510117476
87,110,comp + ∆comp + ∆unc,0,134.27800991735538,0.4272937186304681,0.011704124920301248,0.032304436462880025,,0.09581917619204587,-0.2008878832962182,-0.15932603135821746,-0.09350097548831121
88,111,comp,0,570.5396653061224,0.4099130883364879,,0.003310680920288329,,,,0.047358226376535556,-0.024547494987854655
89,112,comp + unc,0,658.1577016393443,0.07526112719052147,,0.006056461693206899,0.022566784445310253,,,0.053673107697096704,-0.04554541148038741
90,113,comp + unc + ∆unc,0,588.4768099173554,0.9978519378277464,0.1482564251418164,0.003228394005403944,0.9720975601141376,,0.01496088674799267,0.3317038030373887,-0.9314135566869001
91,114,comp + unc + ∆unc,0,371.99200991735535,0.01620844815361266,3.800892595307442e-09,-0.04040395043848339,-1.0,,1.0,0.7109623024713352,1.1323989360236895
92,115,comp + ∆comp + ∆unc,0,616.1150099173552,0.4840195382724283,0.15237502663297198,-0.2255940309579321,,-0.4077370242233807,0.999880303062888,1.0619475649488332,0.2961082417591474
93,116,comp + ∆comp + ∆unc,0,632.1564099173553,0.040769508431689166,0.8131817089931879,0.018317468437936163,,-0.2846810497947247,0.06115651069991461,0.1581794739997839,0.06585984158215279
94,117,comp + unc + ∆unc,0,472.86560991735536,0.2711935535975142,0.008543207279929833,0.003956083322207398,-0.9792093203726676,,-0.9905900507814284,-1.1582583715475487,0.6717073909819496
95,118,unc + ∆unc,0,197.7504790123457,0.7058702476795559,0.008399855402706437,,-0.9875499912787096,,-1.0,-1.1695031183028155,0.6772311815488782
96,119,comp + unc + ∆unc,0,533.4564099173554,0.7581441794990946,0.9876911534119904,0.000705632141571912,0.028958660345066174,,-1.0,-0.8868962841803112,-0.27451220864551495
97,123,unc + ∆comp + ∆unc,0,647.6540099173553,0.9823315243986052,8.158071850510586e-05,,0.9999999813554664,0.9999999922335177,1.0,1.0815116266572107,-1.005497912157757
98,124,comp + ∆comp + ∆unc,0,316.6856099173553,0.013939696312148515,0.6888917486348229,0.22265663912243064,,-0.564771458017865,-1.0,-0.786532677487057,-0.08583769915109474
99,125,unc,0,311.03426530612245,0.0021206976272191693,,,-1.0,,,-0.23069814472599212,0.9116134597764367
100,126,unc,0,456.5738653061225,0.0012167259405907298,,,-1.0,,,-0.23069814472599212,0.9116134597764367
101,127,unc + ∆unc,0,358.11367901234576,0.060159527105820676,0.9679358363337206,,-0.01730987956633797,,1.0,0.9847624912885934,0.2142262461099962
102,128,comp + unc + ∆comp,0,469.5428099173553,0.0194873583104376,0.8686911083892711,0.06910934470321363,-0.055326143398390384,-0.8978325653872976,,0.2000231840046884,0.2703120756109036
103,129,comp + unc + ∆comp,0,428.81540991735534,0.25210440550770624,0.4635087747514666,-0.022059963972335155,-0.05259460124979981,0.023798583703305117,,0.027928031494386656,0.017121042709614075
104,130,comp + ∆comp,0,576.3190790123457,0.8803840642462263,0.006146495920369306,0.0015027148552429455,,-0.010596435118476195,,0.04930279962718141,-0.021802954698347782
105,132,comp + unc + ∆unc,0,217.70120991735538,0.04596694494864023,0.10142582503240444,-0.010196405305102749,0.7556732400095472,,0.9995998695553964,1.199127119882465,-0.5101118224586579
106,133,comp + unc + ∆comp,0,326.11240991735536,0.03153818382320154,0.0,0.5522599528835833,0.3386220976674122,-0.9999464511585217,,0.33578688181768795,-0.04807112301093095
107,134,∆comp + ∆unc,0,677.4908790123458,0.09405150156785952,0.9878542295404784,,,1.0,-0.2994768413750579,-0.42094816209792946,-0.3586041392635443
108,135,comp + unc + ∆comp + ∆unc,0,593.3183103734441,0.0035035137460987004,0.0,0.5525228032406242,-1.0,-0.7517585249567973,1.0,0.8597307242026713,1.3617300753124877
109,137,comp + ∆unc,0,608.8792790123457,0.9793848602142584,0.08745927891888136,0.004364391870003867,,,0.055263759888945815,0.09944719381550164,-0.012188285326554242
110,140,comp + ∆unc,0,157.98987901234568,1.0,0.2602659511357585,0.05086424108581032,,,-0.07113493848429259,-0.018956923412960548,-0.0381081986636597
111,141,comp + unc + ∆unc,0,389.2432099173553,0.415073029004909,0.3571218981136349,0.002488812249288234,-0.046223448622958366,,-0.09159722846716624,-0.05181349356019346,-0.0017080157888169118
112,142,comp + unc + ∆comp + ∆unc,0,418.287710373444,0.963140207843004,0.5572899795670767,0.0025632466062738336,-1.0,0.6852061865318475,-0.7353572065653377,-1.0510581506982575,0.5648691743451043
113,143,comp + ∆comp,0,606.5182790123457,0.02235308028098917,0.005552613304167335,-0.9515103617250328,,1.0,,-0.15302576302858178,-0.33758085000916643
114,145,unc + ∆comp + ∆unc,0,404.19380991735534,0.01894582068483471,0.0,,0.7744859979355867,-0.03264004351879785,0.9860322492681552,1.197799070964787,-0.5215376356723699
115,146,comp + unc + ∆comp + ∆unc,0,400.140310373444,0.13034067330781407,0.6788510231162002,0.014186747864547941,-0.01906685522144496,0.6325175826879831,-1.0,-1.017738060237839,-0.3979044115848066
116,147,comp + unc + ∆comp,0,279.81600991735536,0.9958911980586904,0.24344104763796684,-0.003332813114809785,-1.0,0.036798492526177534,,-0.23759519881283223,0.9016210304136119
117,148,comp + unc,0,604.9745016393442,0.9992826778450641,,0.0008469775104585697,-1.0,,,-0.23068544732793947,0.9116541193426493
118,149,unc + ∆unc,0,650.6354790123457,0.986082528072188,0.9864223418428498,,1.0,,-0.9999999471605592,-0.616950776273193,-1.1837513871561236
119,152,∆comp + ∆unc,0,220.8320790123457,0.867801411953627,0.02046537977490136,,,-0.1981517572612482,-1.0,-0.8580874949498781,-0.19448601614457575
120,153,comp + ∆comp + ∆unc,0,322.1952099173553,0.9994915900887268,0.0034028199750902647,-0.9777150092721204,,0.06638481407106256,-1.0,-0.9219671178169871,-0.3121050003374306
121,154,unc + ∆comp + ∆unc,0,561.2694099173553,0.9896904736613588,0.8701299689319785,,-1.0,-0.7653398886298829,1.0,0.8539747036759048,1.3388348458039996
122,155,comp + ∆comp + ∆unc,0,643.2550099173553,0.017410517278634862,0.9572342227390443,0.017237318308286308,,-0.996724168566008,0.43875513909396696,0.6464514563864572,0.34016425309735077
123,156,comp + unc + ∆comp + ∆unc,0,579.7605103734439,0.14568762753008524,0.8884068104560577,-0.006395270837201013,0.016232093600131052,-0.5674202187731864,1.0,1.0995713142392307,0.3341260359127979
124,157,comp + ∆unc,0,352.55447901234567,0.58285995027267,0.951860559936312,0.0068243302690303405,,,1.0,0.9896770608853679,0.1983462669392381
125,158,comp + unc + ∆comp + ∆unc,0,291.869710373444,0.4888714152504466,0.3577679799886996,0.03607092086512055,0.4322885176451995,-0.2396704819068955,0.6368757319520889,0.812730374310682,-0.22184779234625718
126,159,comp + ∆comp + ∆unc,0,408.7876099173553,0.4814581066447162,0.14603448756289222,0.04623561882835262,,0.2157400842325432,-0.2962367775227268,-0.27127488649815057,-0.14611126494712617
127,160,unc + ∆unc,0,559.0498790123456,0.31418205183500564,0.03003112170050597,,-0.8744527367175247,,-0.9997476690452144,-1.137823556420413,0.5713921735295843
128,161,comp + ∆unc,0,469.01847901234567,0.6189354966230514,0.6548729989411565,0.02245336372268606,,,0.2779546147067049,0.3095524298577143,0.038278924662794915
129,162,comp + ∆unc,0,580.1900790123457,0.2116801171864265,0.8342900671048995,-0.01131199097505307,,,0.12841480627860655,0.1681399381052615,0.0033517355180195676
130,163,comp + unc + ∆comp + ∆unc,0,327.984710373444,0.30817638586627466,0.13009447210554914,0.018005943371490574,0.7039163026622888,-0.07080349890075724,1.0,1.198712562574109,-0.4412893244837873
131,164,∆comp + ∆unc,0,633.6976790123457,0.7477780683080256,0.983747142228135,,,-0.6341039040311088,0.9999998504780208,1.107562240349777,0.3674491038725802
132,166,comp,0,373.9798653061225,0.00031569023143246063,,1.0,,,,0.062300017466527566,0.023299059214687626
133,168,comp + unc,0,614.8891016393443,0.1807896070435956,,0.015816907257812537,-0.0803653687315383,,,0.025203598392071133,0.051300565331107405
134,169,comp + unc + ∆comp,0,526.3416099173553,0.002892562433962168,0.0,0.2246956271682833,1.0,-0.1796324148216426,,0.36210801989562996,-0.9022424990258523
135,170,comp + unc + ∆unc,0,342.5392099173553,0.5236107010387557,0.6705134934620876,0.011189712695440971,0.008292233912506834,,0.1976183873984952,0.23599076020607976,0.012081130867950825
136,171,comp + ∆comp + ∆unc,0,567.7624099173554,0.8047855681360905,0.1951999235510003,0.006771916646687055,,0.019490401948059014,-0.024180476916613302,0.020999093669011266,-0.034974706757645135
137,172,comp + unc + ∆comp + ∆unc,0,461.873910373444,0.00039821647735433397,5.614627214205267e-07,-1.0,-1.0,0.9999984497352608,1.0,0.5105070173756978,0.8191367687049025
138,173,unc + ∆unc,0,689.6312790123458,0.10111192818497934,0.7408889358933565,,0.011731389769135752,,0.4141927527498333,0.4408498145700145,0.05656035773427929
139,174,comp + unc + ∆unc,0,241.5602099173554,0.026870471007083167,0.12028993462387096,0.05955183528969784,-0.8473915290983991,,-1.0,-1.1296453545011416,0.5488568410117171
140,175,comp + unc + ∆comp + ∆unc,0,284.784710373444,0.021235878487536542,0.4438085864639512,0.016270639730568952,-0.6716960448722246,-0.005485196072963859,-1.0,-1.0804290428471868,0.38373755686507877
141,176,unc + ∆comp + ∆unc,0,119.48280991735537,0.17563664640416202,0.010497355444050123,,-1.0,-0.047927251305331715,-0.9245117714636912,-1.0929164843092163,0.7185074983551814
142,178,comp + ∆comp + ∆unc,0,600.9340099173553,0.04134797716581209,0.0,-0.19093173197149998,,0.3965242008189434,-0.4832047033972394,-0.4846423879629095,-0.2474439670698163
143,179,comp + unc + ∆unc,0,317.2196099173553,0.3287525183067025,0.2421278267378032,0.0070238933177110465,0.09903158685152068,,0.17608714409779008,0.2408662983384668,-0.07787545992369341
144,180,comp + unc + ∆comp + ∆unc,0,459.746710373444,0.9708022799937368,0.9739596247733456,-0.001304637384195354,1.0,0.07003137386285241,-1.0,-0.6300011125979017,-1.2025261812096861
145,181,comp + unc,0,425.44670163934427,0.05532522649097393,,0.05564901362593574,0.0970512372875051,,,0.07512375047826282,-0.11290597133494631
146,182,comp + ∆comp + ∆unc,0,78.91300991735538,1.0,0.06918706950563933,0.032226715454405946,,0.2183010047921142,-0.6794490816380973,-0.6330493962590095,-0.2328190326505883
147,183,∆comp,0,292.76190163934433,0.3068364207022844,0.9493912176757492,,,1.0,,-0.13876126879482636,-0.29190313356830594
148,184,comp + ∆unc,0,162.0296790123457,0.9911258072602068,0.029340219844713775,-1.0,,,0.10090550368918637,0.1273970131255055,-0.050237723740243295
149,185,unc + ∆comp + ∆unc,0,224.7766099173554,0.7995044020804344,0.005709923991444072,,0.9562715233825828,0.030100267629380607,1.0,1.2498239298659795,-0.7054000741414977
150,186,comp + ∆comp + ∆unc,0,290.53040991735537,0.3914375274015688,0.4359812311190429,0.006044023419373555,,0.21645359433758005,-0.2584725250056378,-0.23642620122903166,-0.1398202830848024
