sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,group,k,aicc,delta_aicc,akw,er,drank
0,var + delta_mean + delta_var,200.9594,400.7485898996312,0.9839008146434752,0.013794432099656856,,1.0,0.16009244927997526,-0.9988012677651196,0,7,201.42220991735536,0.0,1.0,1.0,0
0,mean + var + delta_var,437.3286,1000.0,0.8609701037569588,0.0037624273753030842,-0.0016908304471371,-0.9380662695181738,,-1.0,0,7,437.79140991735534,236.36919999999998,4.710644973444649e-52,2.1228515535288836e+51,1
0,mean + delta_mean,486.8968,927.7294370862872,0.8773214295803764,0.0018546655382512347,-0.001968953118327103,,-0.09752203755409516,,0,6,487.24247901234565,285.8202690949903,8.60829532583623e-63,1.1616701822469802e+62,2
0,mean + delta_mean + delta_var,490.2942,759.4601089419903,0.9852159134546936,0.009855146049431609,0.0006550360914523378,,0.11127272731852476,-0.897957621973195,0,7,490.75700991735533,289.3348,1.4850684398368494e-63,6.733696395230516e+62,3
0,mean + var + delta_mean,494.943,456.37704795425077,0.9622753313466874,0.00038309670050299576,-0.003973543516274026,0.8522538411295838,-0.8409868113617709,,0,7,495.4058099173553,293.98359999999997,1.4530226190717997e-64,6.882205320649492e+63,4
0,mean + var,502.0902,948.9599495774036,0.0037562412519421117,,-0.037102040662810684,-1.0,,,0,5,502.33610163934424,300.9138917219889,4.5433756754538754e-66,2.2010066334655494e+65,5
0,var,505.99,867.5792398626159,0.0028156188643325216,,,-1.0,,,0,4,506.1532653061225,304.7310553887671,6.73739624318026e-67,1.4842529130036281e+66,6
0,var + delta_var,509.99,1000.0,0.8844006080767495,0.003166523245761801,,-0.9275499204553376,,-0.9999835004774368,0,6,510.3356790123457,308.9134690949903,8.323241448205545e-68,1.2014549934936655e+67,7
0,mean,699.1472,382.5332182798258,0.9800514793739848,,-0.00040911523346997576,,,,0,4,699.3104653061224,497.88825538876705,7.67253785970477e-109,1.303349710728542e+108,8
0,delta_mean,701.1472,255.34382882624345,0.8921937088799196,0.0013324450356961648,,,-0.3651790061935207,,0,5,701.3931016393443,499.97089172198895,2.708322055339019e-109,3.692323067814855e+108,9
0,delta_var,701.1472,150.86804292392358,0.9250333937567204,0.008804104310642966,,,,-0.9532217942351612,0,5,701.3931016393443,499.97089172198895,2.708322055339019e-109,3.692323067814855e+108,9
0,delta_mean + delta_var,703.1472,633.6919130047689,0.9780537008129908,0.5145059494388108,,,0.16789986488585604,-0.18603177822542344,0,6,703.4928790123457,502.07066909499036,9.478496265001227e-110,1.0550196698314262e+109,12
