sid,group,activity,item,rating,rating_norm
5,0,A3,int,6,-0.2857142857142856
5,0,A4,int,6,-0.2857142857142856
5,0,A1,prog,10,3.7142857142857144
5,0,A2,prog,1,-5.285714285714286
5,0,A3,prog,9,2.7142857142857144
5,0,A4,prog,3,-3.2857142857142856
5,0,A1,rule,10,3.7142857142857144
5,0,A2,rule,2,-4.285714285714286
5,0,A3,rule,8,1.7142857142857144
5,0,A4,rule,5,-1.2857142857142856
5,0,A1,time,10,3.7142857142857144
5,0,A2,time,4,-2.2857142857142856
5,0,A3,time,7,0.7142857142857144
5,0,A4,time,4,-2.2857142857142856
6,0,A1,comp,4,-1.4285714285714288
6,0,A2,comp,1,-4.428571428571429
6,0,A3,comp,8,2.571428571428571
6,0,A4,comp,10,4.571428571428571
6,0,A1,lrn1,6,0.5714285714285712
6,0,A2,lrn1,1,-4.428571428571429
6,0,A3,lrn1,10,4.571428571428571
6,0,A4,lrn1,10,4.571428571428571
6,0,A1,lrn2,1,-4.428571428571429
6,0,A2,lrn2,1,-4.428571428571429
6,0,A3,lrn2,3,-2.428571428571429
6,0,A4,lrn2,1,-4.428571428571429
6,0,A1,int,10,4.571428571428571
6,0,A2,int,9,3.571428571428571
6,0,A3,int,5,-0.4285714285714288
6,0,A4,int,1,-4.428571428571429
6,0,A1,prog,9,3.571428571428571
6,0,A2,prog,10,4.571428571428571
6,0,A3,prog,7,1.5714285714285712
6,0,A4,prog,1,-4.428571428571429
6,0,A1,rule,10,4.571428571428571
6,0,A2,rule,10,4.571428571428571
6,0,A3,rule,3,-2.428571428571429
6,0,A4,rule,1,-4.428571428571429
6,0,A1,time,4,-1.4285714285714288
6,0,A2,time,1,-4.428571428571429
6,0,A3,time,8,2.571428571428571
6,0,A4,time,7,1.5714285714285712
7,0,A1,comp,1,-4.321428571428571
7,0,A2,comp,1,-4.321428571428571
7,0,A3,comp,10,4.678571428571429
7,0,A4,comp,10,4.678571428571429
7,0,A1,lrn1,1,-4.321428571428571
7,0,A2,lrn1,1,-4.321428571428571
7,0,A3,lrn1,10,4.678571428571429
7,0,A4,lrn1,7,1.6785714285714288
7,0,A1,lrn2,1,-4.321428571428571
7,0,A2,lrn2,1,-4.321428571428571
7,0,A3,lrn2,5,-0.3214285714285712
7,0,A4,lrn2,5,-0.3214285714285712
7,0,A1,int,2,-3.321428571428571
7,0,A2,int,2,-3.321428571428571
7,0,A3,int,10,4.678571428571429
7,0,A4,int,10,4.678571428571429
7,0,A1,prog,10,4.678571428571429
7,0,A2,prog,10,4.678571428571429
7,0,A3,prog,8,2.678571428571429
7,0,A4,prog,2,-3.321428571428571
7,0,A1,rule,10,4.678571428571429
7,0,A2,rule,10,4.678571428571429
7,0,A3,rule,1,-4.321428571428571
7,0,A4,rule,1,-4.321428571428571
7,0,A1,time,1,-4.321428571428571
7,0,A2,time,1,-4.321428571428571
7,0,A3,time,10,4.678571428571429
7,0,A4,time,8,2.678571428571429
8,0,A1,comp,9,2.3928571428571432
8,0,A2,comp,3,-3.6071428571428568
8,0,A3,comp,10,3.3928571428571432
8,0,A4,comp,9,2.3928571428571432
8,0,A1,lrn1,9,2.3928571428571432
8,0,A2,lrn1,6,-0.6071428571428568
8,0,A3,lrn1,9,2.3928571428571432
8,0,A4,lrn1,9,2.3928571428571432
8,0,A1,lrn2,2,-4.607142857142857
8,0,A2,lrn2,10,3.3928571428571432
8,0,A3,lrn2,5,-1.6071428571428568
8,0,A4,lrn2,4,-2.6071428571428568
8,0,A1,int,10,3.3928571428571432
8,0,A2,int,4,-2.6071428571428568
8,0,A3,int,8,1.3928571428571432
8,0,A4,int,8,1.3928571428571432
8,0,A1,prog,1,-5.607142857142857
8,0,A2,prog,10,3.3928571428571432
8,0,A3,prog,3,-3.6071428571428568
8,0,A4,prog,6,-0.6071428571428568
8,0,A1,rule,2,-4.607142857142857
8,0,A2,rule,10,3.3928571428571432
8,0,A3,rule,7,0.39285714285714324
8,0,A4,rule,4,-2.6071428571428568
8,0,A1,time,4,-2.6071428571428568
8,0,A2,time,9,2.3928571428571432
8,0,A3,time,6,-0.6071428571428568
