index,sid,form,group,aicc,step,scale,comp,unc,∆comp,∆unc,PC1,PC2
43,55,comp + unc + ∆comp + ∆unc,0,707.7233103734441,0.9404612288558306,0.8077014761384573,-0.0022733514739106233,1.0,-1.0,0.9478352078723544,1.2858028488401514,0.7942712481425201
44,56,comp + unc + ∆comp + ∆unc,0,592.8401103734442,0.007809543758868436,0.9386209221863407,0.11848066738802393,0.1842220133962933,-0.9999996607882914,-1.0,-0.6594835304490523,0.021566966339407696
45,57,comp + unc + ∆comp + ∆unc,0,591.736110373444,0.30634271638651184,0.7152943565656558,0.004004189811094111,0.1391630967329174,-0.14662910268093407,0.9998772290151432,1.0822463155248454,0.13910546561247025
46,58,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.9798647629282836,0.12952802683919212,0.027295582487391223,0.5809266132129858,-0.08218425826989817,0.2918288978824077,0.4095812302894948,0.5850762421425904
47,59,comp + unc + ∆comp + ∆unc,0,692.812110373444,0.5017541260177353,0.9930079788218132,0.005275748805031248,-0.003841805979658468,0.9995983276546346,0.8890527669522401,0.7010803486030471,0.23781941069159132
48,60,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.04673187906185899,0.027874087681918614,0.2817634608938893,-1.0,-0.9933560612165973,0.5007086274005809,0.7170381805643709,-1.171520086521043
49,61,comp + unc + ∆comp + ∆unc,0,657.883310373444,0.12678185369285194,0.7697523404197181,0.002327695852292209,0.030435063690018613,-0.1773812539526096,1.0,1.0821804161200157,0.028570471234372806
50,62,comp + unc + ∆comp + ∆unc,0,706.281510373444,0.5166583372135725,0.9345560909236434,0.012905938418519928,0.14286740719058202,-0.904896535831106,0.5975587153125875,0.8665932792688241,-0.007141150487090721
51,63,comp + unc + ∆comp + ∆unc,0,279.592910373444,0.6263437963675814,0.06804495172903874,0.026684340438012884,0.06852614229115482,-0.007927479451835412,0.10563265275125568,0.17747368547968065,0.11091165536653833
52,64,comp + unc + ∆comp + ∆unc,0,713.2899103734441,0.04085471022402461,0.3003305377289967,0.007783651469889402,0.3557135209626753,-0.11252428062069733,1.0,1.0889870965025987,0.353614206578259
53,65,comp + unc + ∆comp + ∆unc,0,348.25631037344397,0.434342807744489,0.07079031089957634,0.08206553699861369,0.9521494692394884,0.10167084722403152,0.9999918314612436,1.079625748604384,0.9573888044342374
54,66,comp + unc + ∆comp + ∆unc,0,626.5309103734439,0.522914302907152,0.2926140208028201,-0.02368393321515098,-0.018802350145331558,-0.036246918998649534,0.2249712743474241,0.29392963140496564,0.028268682160354913
55,67,comp + unc + ∆comp + ∆unc,0,558.0815103734442,1.0,0.9991752664549316,0.002756226777618438,0.5691291334331811,0.9155411608292048,1.0,0.8664348848304441,0.7700936822800318
56,68,comp + unc + ∆comp + ∆unc,0,235.34891037344397,0.9646757502306924,0.3893671445930037,0.0002209728592524667,1.0,-0.09948281055016532,0.14455661847501233,0.2985497102382763,0.9919815004666701
57,69,comp + unc + ∆comp + ∆unc,0,260.15711037344397,0.26613729409764303,0.927025495472298,0.0077489171835181956,-0.06669849782932702,0.18938789412645413,-1.0,-0.9504057667888608,0.043858505031532755
58,72,comp + unc + ∆comp + ∆unc,0,457.10711037344396,0.09849816582362277,0.8107351234810449,0.01199464730872436,-0.041363831102607586,0.4502059598439922,-1.0,-1.0087823821858954,0.1208108834964142
59,73,comp + unc + ∆comp + ∆unc,0,490.86231037344396,0.12303476905136153,0.9265438804171816,0.02285137311182306,0.04046467496150059,0.20866893223906605,-0.6113289637837762,-0.5703335458851487,0.14136080732029377
60,74,comp + unc + ∆comp + ∆unc,0,531.371510373444,0.4646992017847463,0.015012921968669216,0.015036102185003428,-0.053073714777265885,-0.10479148960832027,-0.024778029678551444,0.0650352977167226,-0.02144830552684213
61,75,comp + unc + ∆comp + ∆unc,0,525.7957103734442,0.401063506380846,0.17879608623578158,0.015329239705820619,0.14052648373553148,0.06386438903848078,0.062070596511183226,0.1234383718649606,0.19765795102143205
62,77,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.023001948508352032,0.9280207465467604,0.010277015684079769,0.1135213283299584,1.0,-0.6540961240840235,-0.7892675238869156,0.3765578696748768
63,78,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.1070665041210134,0.6954548289921513,-0.06742529894991582,-0.19428994710333988,0.5816214429200772,-0.9195217894761744,-0.9712795299767231,0.013749034196273272
64,79,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.0035391359256795444,0.0326207267059794,-0.0874710348304027,-1.0,-0.008674184247462755,1.0,0.9743076871585928,-0.9113348780435507
65,80,comp + unc + ∆comp + ∆unc,0,708.727110373444,1.085501020810983e-05,0.0,0.9999999999892288,-0.9976416682607688,1.0,0.999999999958599,0.7440013778642186,-0.9010469891077078
66,81,comp + unc + ∆comp + ∆unc,0,495.052710373444,1.0,0.1864983065844253,0.0016629823875205867,0.8754257716176075,0.034332220420125674,-0.033167306402580574,0.08686821651174029,0.9023926958894267
67,83,comp + unc + ∆comp + ∆unc,0,716.0625103734441,0.039765340630817235,0.0,-0.9946061525608064,0.9355729262383136,0.9781730671369456,1.0,0.8747764647538793,1.317189398555688
68,85,comp + unc + ∆comp + ∆unc,0,698.535910373444,0.11492261245301755,1.0,0.0188012035759944,0.07013712531607427,0.03310986276873318,-1.0,-0.9052456742992031,0.14143907329078004
69,88,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.022144759304864668,1.0,-0.0495336866833103,-0.6473993270788719,0.02846238623877287,1.0,0.9893812604393609,-0.5716166175895125
70,89,comp + unc + ∆comp + ∆unc,0,710.517310373444,1.0,0.4105686054627712,0.0045209944547524965,0.4087271010491141,0.0644335764218632,-0.049289158343732,0.03310157910969733,0.4595598955123946
71,90,comp + unc + ∆comp + ∆unc,0,359.568310373444,0.2538738485952399,0.9138205077546256,0.010443800626149477,-0.016437632870990933,-0.3423231030457873,1.0,1.1170549260263947,-0.05172909656562152
72,91,comp + unc + ∆comp + ∆unc,0,669.9139103734441,0.9867996819947312,0.7800585472771395,0.05257944588266646,-0.11077022432219027,-0.7585952680944712,1.0,1.2067080957200764,-0.2352940462502996
73,92,comp + unc + ∆comp + ∆unc,0,62719.78631037345,0.09516903365299204,0.10667613027575787,-0.0006523011769923293,-1.0,-0.11928724344507308,-0.7728655422938024,-0.7211822539086461,-0.9191077308839019
