sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,group
2,mean + var,266.8384,1000.0,0.004249289538604732,,0.17101371097815035,1.0,,,0
2,mean + var + delta_mean,644.5668,895.7187255564266,0.004286038454521091,0.5247108274046419,0.21074450878717574,1.0,-0.09727826007423594,,0
2,mean + var + delta_mean + delta_var,684.0914,1000.0,0.0026011803076112423,0.0,0.3827600203572692,1.0,-0.15649884352369725,-1.0,0
2,mean + var + delta_var,707.9198,1000.0,0.0029536773821647287,0.0,0.25633006335369485,1.0,,-1.0,0
2,var,701.9198,109.54212472901588,0.10270216458605212,,,-0.059727864390149536,,,0
2,var + delta_mean,705.9198,967.9546071358886,0.9797244412067372,0.9779573769910276,,1.0,-0.9901537294328844,,0
2,var + delta_mean + delta_var,707.9198,878.197526946296,0.9750932698655136,0.9860445294454212,,0.9767776554420492,-0.9512894661271007,-0.9770773088904384,0
2,var + delta_var,705.9198,1000.0,0.9803013932679436,0.9774071827612529,,0.999999891750581,,-0.9998607600549144,0
3,delta_mean,537.8104,266.4871723693123,0.5642513486563989,0.13709296127928505,,,0.042866477947181535,,0
3,delta_mean + delta_var,772.4618,151.5164931317803,0.6256424022575179,0.1358391279180366,,,0.05721149321170359,0.04139911916522656,0
3,delta_var,770.4618,387.91682361716585,0.75741404678194,0.15993349585684213,,,,0.047359287786988745,0
3,mean,768.4618,631.4012830175258,0.235545285121638,,-0.0045617814241201505,,,,0
3,mean + delta_mean,772.4618,923.7694946109416,0.2791101434281497,0.2804409656576603,-0.0026896723824900016,,0.0211221007867856,,0
3,mean + delta_mean + delta_var,496.7244,416.86357910795084,0.3278374171767731,0.4357311017848048,-0.015110739892444785,,-0.010865670900388948,0.19851577723088096,0
3,mean + delta_var,481.4112,447.0696011615899,0.3249645889397865,0.4264609871892802,-0.012769520854846316,,,0.16479909364124562,0
3,mean + var,770.4618,14.374785529322944,0.05981786942460901,,0.10159683339896307,1.0,,,0
3,mean + var + delta_mean,701.7666,670.2558866891558,0.2785223345771668,0.2771880863119652,-0.002636483934280489,0.0027123941881107487,0.029240919343679592,,0
3,mean + var + delta_mean + delta_var,603.1586,454.4885025274183,0.3451275123865355,0.3403270613209438,-0.007251055267531636,0.018461110729800025,-0.00838291580950337,0.1527137582875884,0
3,mean + var + delta_var,774.4618,51.02037724701663,0.3944907977207618,0.2465301272469307,-0.03145358180949598,0.2175545063728459,,0.9999789138739424,0
3,var,646.116,238.40141723885444,0.06571390664260053,,,0.04129505063422676,,,0
3,var + delta_mean,535.4112,90.10747471836292,0.5368594127762012,0.13493807592662302,,0.022767125759846102,0.12640935056947586,,0
3,var + delta_mean + delta_var,709.2436,217.5854243987625,0.4164806567948107,0.21668416959499687,,0.07101922356060457,-0.0011264270502757718,0.22658435994397405,0
3,var + delta_var,772.4618,966.7337723756223,0.4167201485283748,0.21617159219506665,,0.01583379210952142,,0.050406050870298987,0
4,delta_mean,703.9198,83.19283875306095,0.0,1.0,,,-1.0,,0
4,delta_mean + delta_var,705.9198,944.9632767431117,0.6160520164153956,0.9939256883180492,,,-0.40201501334418976,-0.338554704051207,0
4,delta_var,703.9198,549.591104610325,0.6986653012747344,0.9828582612744572,,,,-0.5491698821743205,0
4,mean,701.9198,376.59230064743593,0.9666576418175518,,0.004718625356920824,,,,0
4,mean + delta_mean,567.1556,216.36845012694042,0.9200377216229372,0.24924948801749264,0.01006082218288832,,0.003986600666948209,,0
4,mean + delta_mean + delta_var,707.9198,1000.0,1.0,0.001622522911688997,0.002804966652845698,,0.06868488535575072,-1.0,0
4,mean + delta_var,705.9198,967.3995171590424,0.01820225719004075,0.946674226619942,0.025051095657856626,,,-0.9999884870979456,0
4,mean + var,703.9198,661.8686364575323,0.9734293569715544,,0.0026182503172384537,-0.003852325744575293,,,0
4,mean + var + delta_mean,569.0404,30.640956262778786,0.04405463701920575,0.5259072365677826,0.795321317107911,0.9999722887301916,-0.9785339660995888,,0
4,mean + var + delta_mean + delta_var,709.9198,967.2033326171213,0.8246291589827934,0.002173185586939476,0.0033717240774162626,-0.9096353292291838,0.07743387167492799,-0.9999981361800307,0
4,mean + var + delta_var,569.0404,1000.0,1.0,0.0007195586925584539,0.0013687771912291554,-1.0,,-1.0,0
4,var,596.3854,42.2357092250642,0.033974588355514236,,,-0.20279572129154053,,,0
4,var + delta_mean,605.0194,498.67608617642577,0.02070604053378801,0.0,,0.022964490731665645,0.020095965837161597,,0
4,var + delta_mean + delta_var,668.9284,767.7486444006507,0.99639324713632,0.000859788185428681,,-1.0,-0.032053946628434166,-0.8115979802917265,0
4,var + delta_var,605.1926,360.39486554787385,0.0017905599027515293,1.0,,-0.9999999999272264,,1.0,0
5,delta_mean,709.465,281.79164427769865,0.3680113877337045,0.9652990954807268,,,-0.9913158939807208,,0
5,delta_mean + delta_var,711.465,75.2727420297379,0.30684760589747845,0.7888897930963313,,,-1.0,0.7412194157044576,0
5,delta_var,709.465,607.5726136003219,0.9893825317909076,0.2545181349794957,,,,-0.026912441650018028,0
5,mean,589.6778,466.7394838036917,0.18792529925501292,,0.009195105693318271,,,,0
5,mean + delta_mean,673.9522,34.716613620880516,0.09693990947140103,0.1328918776675112,-0.06571602182695797,,1.0,,0
5,mean + delta_mean + delta_var,465.9744,141.94403649641382,0.1093281232501068,0.17969072251736767,-0.03349410124953681,,-0.051389952512909516,1.0,0
5,mean + delta_var,459.2078,332.70663367353745,0.10968921504666404,0.17799130647131514,-0.011534379406520608,,,0.3510355775724639,0
5,mean + var,709.465,213.64318270418414,0.23552623690715235,,-0.017038095621012286,-0.12207346893113424,,,0
5,mean + var + delta_mean,713.465,337.76682507734694,0.04787932855221799,0.8037736064423616,-0.013364990697216186,-0.046944434561159314,0.8024791899244692,,0
5,mean + var + delta_mean + delta_var,597.5509999999999,999.9983254776092,0.10309818659011706,0.2115941653057648,-0.0043830963658788285,0.007131116376009793,-0.01075081293269124,0.17290323015042608,0
5,mean + var + delta_var,713.465,593.3234610182552,0.5442457724685783,0.2509746726969124,0.002604344958611006,-0.07768699433411146,,-0.10183828384173814,0
5,var,698.0186,49.519582175682345,0.0026651241458641693,,,-0.9999999999058076,,,0
5,var + delta_mean,711.078,600.5412570593116,0.38005670379143214,0.3966225513064802,,-0.02520537863085852,-0.02738963169762405,,0
5,var + delta_mean + delta_var,687.9602,139.2256242954976,0.10697160662598364,0.19112589140131486,,0.10582043900528723,-0.0402709047195662,0.9999624858303434,0
5,var + delta_var,484.3274,341.1616717007229,0.5516104297213769,0.28013521645336165,,-0.14940774597191034,,-0.1869858067321026,0
6,delta_mean,701.1472,28.800920602189393,1.0,0.5009509053997786,,,0.2058882708607372,,0
6,delta_mean + delta_var,703.1472,425.9698441874577,1.0,0.4449248314683521,,,0.1125301044250182,-0.1388819738119056,0
6,delta_var,701.1472,81.91927581933807,0.3354572073048657,0.9840869488497191,,,,-0.6506740502618454,0
6,mean,699.1472,152.54832146202975,0.05445365147174214,,-0.013631817307456278,,,,0
6,mean + delta_mean,590.7366,699.1378265119153,0.6624107509770012,0.9877445838422824,0.003358805431806539,,0.987944173681348,,0
6,mean + delta_mean + delta_var,677.6339999999999,641.5797260447282,0.1874232934951674,0.8177503585189767,-0.03480915557097832,,-0.7013539671137818,1.0,0
6,mean + delta_var,666.8804,1000.0,0.7621713273096341,0.9914237806995796,0.0017804640714448028,,,0.9971240332611236,0
6,mean + var,701.1472,204.69976982461628,0.4888532015101084,,0.009694057596587674,0.06315224215021611,,,0
6,mean + var + delta_mean,705.1472,257.8655581984709,0.23808373643370245,0.9295630022307159,0.004514932726128255,0.08059832171450344,-1.0,,0
6,mean + var + delta_mean + delta_var,707.1472,926.2229338635417,0.8434405088968214,0.7742865608684975,0.00174696638173196,-0.2940944248566126,1.0,-0.9935743424059162,0
6,mean + var + delta_var,586.7768,775.0016826021596,0.3370062852703625,0.98409978210734,0.00299607462881872,0.02087413224324493,,-1.0,0
6,var,624.1248,563.8414966145698,0.7151411571644378,,,0.01818548360850209,,,0
6,var + delta_mean,703.1472,354.23448440609155,0.23897580072269525,0.9453920934577924,,0.0541132166823043,-1.0,,0
6,var + delta_mean + delta_var,366.3618,536.4970263697269,0.16522784020780584,0.8615831200010413,,0.0620891026368082,-0.778189816722391,0.9652695234265776,0
6,var + delta_var,703.1472,1000.0,0.992299118992718,0.001795976872605511,,1.0,,0.6878382727301025,0
7,delta_mean,703.9198,990.6937692547757,1.0,0.9989655163145688,,,-1.0,,0
7,delta_mean + delta_var,705.9198,511.22045347958436,0.4692242534221902,0.7613748956597319,,,0.03370906404911337,0.2705454497545928,0
7,delta_var,394.2864,136.87772087401635,0.6121138521324421,0.3760707012784388,,,,0.3418107799908048,0
7,mean,701.9198,648.4066639197646,0.22218621785794074,,-0.001128338719424535,,,,0
7,mean + delta_mean,460.6026,357.33665739150894,0.3195026493525126,0.7462740536594059,0.006441852808273804,,0.2266232587852644,,0
7,mean + delta_mean + delta_var,664.8578,888.7092371889145,0.620874861716453,0.37028901050669133,0.0029577596149613873,,0.009109697764773168,0.04698271142833598,0
7,mean + delta_var,388.1406,501.1920477572673,0.6269812833570142,0.396095998286122,0.002977880283284413,,,0.1042282479144099,0
7,mean + var,664.512,1000.0,0.9985686722349134,,-0.0009180697176806749,-1.0,,,0
7,mean + var + delta_mean,419.8452,119.55153357098473,0.9262030873067691,0.25211294750309626,0.01098531791882078,-0.511011920194391,0.09920980124903134,,0
7,mean + var + delta_mean + delta_var,344.0224,530.9389158069886,0.6195669733265025,0.4930519415414446,0.0024601532730604302,-0.0164231183430223,0.02425539810948274,0.08774180780443139,0
7,mean + var + delta_var,381.861,864.4767965345966,0.988756672265436,0.31983337642080834,0.0008608256804696657,-1.0,,0.053516408704838966,0
7,var,642.644,839.2571359120842,0.9987760460278436,,,-0.9989638735685618,,,0
7,var + delta_mean,646.7594,887.7560364017329,0.999115304372326,4.3950968961646147e-05,,-1.0,0.9999999999679048,,0
7,var + delta_mean + delta_var,658.7274,583.0441634540267,1.0,0.9991203234693768,,1.0,-1.0,-1.0,0
7,var + delta_var,697.4092,155.91159931654758,0.932336510255185,0.3645400162039377,,-0.8982836733502986,,0.3281022592504525,0
8,delta_mean,703.9198,318.6884013001502,1.0490189860419993e-05,6.8911631109488845e-09,,,-0.9999998953248468,,0
8,delta_mean + delta_var,705.9198,52.16214561711604,0.9999999999999802,0.8099403918598798,,,-0.9999999999997145,1.0,0
8,delta_var,585.965,599.754345623118,1.0,0.377026905659456,,,,-0.01893195542108669,0
8,mean,701.6452,734.6181478210817,1.0,,0.001555229359180983,,,,0
8,mean + delta_mean,705.9198,504.12477395031937,0.036411251095828816,0.0025814564669009933,-0.9886655699017384,,0.9999880486258512,,0
8,mean + delta_mean + delta_var,707.9198,489.9344392069688,0.21062804305437047,0.8716443144971849,-0.0033398118169392942,,-0.3465236026616045,1.0,0
8,mean + delta_var,705.6452,392.02141192592,9.482651769124975e-06,0.9999999999999696,-0.9999999999976656,,,1.0,0
8,mean + var,703.9198,582.3936276532571,0.349470394668428,,-0.0021368456460627303,-0.02457451077185836,,,0
8,mean + var + delta_mean,707.9198,183.8222623083305,0.035849609083071,0.009941996518238785,-0.9863429617610888,-0.07660751414085874,0.99954111777761,,0
8,mean + var + delta_mean + delta_var,709.9198,163.93018188784822,0.22904509811464194,0.7187816372923114,-0.018559181572933955,-0.05968091202459608,-0.2859374025509814,0.9739125359415384,0
8,mean + var + delta_var,707.9198,402.81830198264845,9.232088288229332e-06,0.9999999999997656,-0.9999999999987446,1.0,,1.0,0
8,var,701.9198,303.27852934812734,0.37702690494974256,,,-0.03743925055811125,,,0
8,var + delta_mean,705.9198,92.99976833316781,0.8966970248696178,0.914456370987666,,0.5322955245299816,-1.0,,0
8,var + delta_mean + delta_var,707.6976,1000.0,0.989612574653597,0.8988703306447606,,1.0,-1.0,0.9950802311352088,0
8,var + delta_var,594.8466,1000.0,0.979109748960525,0.9753992990573288,,1.0,,-0.9995380566316264,0
9,delta_mean,644.7166,294.8053459460172,0.16458396273553175,0.33474197488864793,,,0.059210283806758565,,0
9,delta_mean + delta_var,703.1472,362.4023067660962,0.998432425731485,1.5279237856935605e-05,,,0.9998534005068797,0.9997543175346348,0
9,delta_var,644.7148,516.3196567480259,0.8057973150407957,0.03436987262210347,,,,0.016416272567175497,0
9,mean,699.1472,849.539870949927,3.113270082916033e-05,,-1.0,,,,0
9,mean + delta_mean,703.1472,225.95830106823303,0.14414976381644068,0.3700247282595521,-0.003347097971486407,,0.09108970686934348,,0
9,mean + delta_mean + delta_var,705.1472,724.2642708402711,0.09134771997639256,0.979574435422688,-0.0030128421139424557,,1.0,0.9253168542226146,0
9,mean + delta_var,694.2706,452.60732366200654,0.12173385430538833,0.539274140627757,-0.006851923297374815,,,0.12491783467908407,0
9,mean + var,701.1472,642.4141903077012,0.99829882629575,,-0.0002733279006471019,-1.0,,,0
9,mean + var + delta_mean,648.8342,845.3684290607963,0.10449208465956304,0.7757015475551691,0.00016431016084760718,0.004620492030521619,0.0984501197469635,,0
9,mean + var + delta_mean + delta_var,707.1472,453.16597005255363,0.27519942899849104,0.2761257273552404,0.004018219011901313,-0.03853308818153811,0.0653018483892228,-0.1412345846837001,0
9,mean + var + delta_var,696.2712,657.0974946964977,0.0009706501029942967,6.536917873819658e-08,-0.07396785032209552,-1.0,,1.0,0
9,var,699.1472,868.7990977043851,0.9987321278946332,,,-0.9973432863301774,,,0
9,var + delta_mean,697.9928,877.7333340266,0.17657852152764925,0.2259125731838753,,0.004446335685626635,0.01802963361137691,,0
9,var + delta_mean + delta_var,705.1472,385.4672215878293,0.9990137626017396,1.438984068152826e-05,,-0.9967761029347668,0.994101071215872,0.9952642800475612,0
9,var + delta_var,646.7719999999999,774.3243364026697,0.998580835000754,0.9999999998328682,,-0.9999993104607112,,1.0,0
11,delta_mean,703.9198,651.4723126831345,0.0,1.0,,,1.0,,0
11,delta_mean + delta_var,705.9198,250.8149567706543,0.17265491719230966,0.8488556121158906,,,0.0884212241584943,-0.4012956320083384,0
11,delta_var,703.9198,207.92432738847288,0.09534577473643592,0.9212480045200772,,,,-1.0,0
11,mean,701.9198,408.23488375657837,0.0002745226628182136,,-0.9999830712982508,,,,0
11,mean + delta_mean,705.9198,838.8588852060415,0.00035932912536822603,0.1174258533224135,-1.0,,0.8851806014149606,,0
11,mean + delta_mean + delta_var,677.2086,501.4646627773191,0.9608829398978771,0.3380818678163112,0.0025978317117089523,,-0.01241106264178634,0.050814939169077686,0
11,mean + delta_var,705.9198,930.2982377523317,0.8595898714630447,0.4083439897420286,0.001845924378204605,,,0.018807749671318975,0
11,mean + var,671.8168,887.9720801768248,0.21827593609887244,,0.0012214559681372012,0.01054987238151285,,,0
11,mean + var + delta_mean,707.9198,742.8173792364933,0.000406376727713741,0.11014404438553113,-1.0,1.0,0.8828375649435195,,0
11,mean + var + delta_mean + delta_var,662.056,829.479073073869,0.4909683822795442,0.6964233659135611,0.003518032421033409,0.0333053065278925,-0.039106500102497006,0.11747947648002788,0
11,mean + var + delta_var,676.9596,89.7913108435992,0.0012685067953420099,1.0,-0.9999994267595246,0.9999999087486084,,-1.0,0
11,var,696.1360000000001,8.465961581159638,0.16684323656315586,,,0.9943564622159059,,,0
11,var + delta_mean,705.9198,340.3052939096786,0.06672896496154228,0.7196913334606129,,-0.026683802822510358,-0.1863640317951156,,0
11,var + delta_mean + delta_var,685.193,259.8466033924728,0.04457533569545233,0.9089146988406316,,0.010330321967578687,-0.914235789079587,0.9052537870811556,0
11,var + delta_var,662.4002,1000.0,0.1803250759017368,0.994002132271278,,0.004902416446870941,,-1.0,0
12,delta_mean,720.5554,179.83731170576831,0.0,1.0,,,1.0,,0
12,delta_mean + delta_var,722.5554,214.9159928663612,0.9975848381688724,0.008056886560947722,,,0.14451508935641064,0.6523085771789033,0
12,delta_var,720.5554,181.83146506974018,0.035255668832777615,0.54815402124142,,,,-0.4968740350336221,0
12,mean,718.5554,911.7043577888768,0.0362431049583315,,-0.013210932411601215,,,,0
12,mean + delta_mean,722.5554,554.8740078510598,0.09857690297316114,0.9019270959107876,-0.017914855513307924,,0.2600414690156183,,0
12,mean + delta_mean + delta_var,400.285,999.9999999967343,0.07094540505657054,0.0,-0.9808554297494944,,0.9886187290053464,-0.04148572440959706,0
12,mean + delta_var,496.3096,274.0634083287308,0.14745914307110447,0.905245913876664,-0.031031911401314376,,,0.7480073452533632,0
12,mean + var,720.5554,750.9788048050252,0.035366430920086525,,-0.01951376945089822,-0.013900400045557428,,,0
12,mean + var + delta_mean,724.5554,690.5648097266069,0.031254072030649664,0.0,-1.0,0.060139008069312175,0.9973599058433876,,0
12,mean + var + delta_mean + delta_var,726.5554,1000.0,0.09581826950179267,0.9465818859202769,-0.013847738600153842,-0.02606571486356464,0.7693292246229373,-1.0,0
12,mean + var + delta_var,724.5554,210.63511337331985,0.3619277792418867,0.15165774346995586,-0.010563429790370723,0.13735870511163314,,0.18595467328299264,0
12,var,462.4464,415.4674976525337,0.04628647685661826,,,0.09002771918692325,,,0
12,var + delta_mean,430.0346,98.64255092111729,0.1759792192265924,0.24143239853745235,,0.2996584036640313,0.20425221306553887,,0
12,var + delta_mean + delta_var,531.8384,609.717883608545,0.9947506753498644,0.008141890164122397,,0.14658989750417714,0.050635271145631135,0.22626715499370315,0
12,var + delta_var,479.3076,507.42993671684087,0.9952129976416882,0.0606649140809653,,-0.15149743005971453,,0.06029235172261736,0
13,delta_mean,751.0538,966.7319405950348,0.4784734214006065,0.9934073178318076,,,0.999292353889694,,0
13,delta_mean + delta_var,753.0538,567.9041362280602,0.5282906169552477,0.9917673480745479,,,0.9999999526807732,0.5600539840330241,0
13,delta_var,709.3346,29.421059384895948,0.3225061840452207,0.04424895078769155,,,,-0.1801599863572229,0
13,mean,749.0538,407.90600221287514,1.1435308377859813e-05,,-0.999993647129096,,,,0
13,mean + delta_mean,654.6884,761.8888020840911,0.5068055249154041,0.8142756614989376,-0.0009712504881069686,,0.036709029673612316,,0
13,mean + delta_mean + delta_var,654.8244,386.97993415101996,0.5798951775259851,0.8044475931786218,-0.0018867819839104728,,0.04371673253504348,0.03938641475603428,0
13,mean + delta_var,753.0538,385.7640578476194,0.6582888725991272,0.8646305634548503,-0.0021099770284473108,,,0.12346731919543548,0
13,mean + var,751.0538,155.2088099257139,3.0215503876898174e-05,,-1.0,1.0,,,0
13,mean + var + delta_mean,754.6838,774.1731233815098,0.8443595341421644,0.981057375996798,-0.001627782032356859,-0.10426407077637406,0.9999893695745716,,0
13,mean + var + delta_mean + delta_var,757.0538,685.6548011914797,1.3601890380962531e-05,0.7200982414903613,-0.5298228137712491,0.055754201969425016,-0.36505652242957304,-0.34021011003024243,0
13,mean + var + delta_var,755.0538,182.8752162634291,0.9374197615962504,0.91193760074073,-0.005383648078868877,-0.9988375905835454,,0.9999983752511376,0
13,var,745.4568,496.17835858923655,0.0018466295867763586,,,0.9999996076633164,,,0
13,var + delta_mean,734.9668,847.1988254831316,0.007388391951143067,0.010148940815681226,,0.276467054046933,0.028439138444008912,,0
13,var + delta_mean + delta_var,725.1254,932.8022001838699,0.9375637556928548,0.6380690463799438,,-0.07129866396643551,0.019356770922759947,0.0007437992397065987,0
13,var + delta_var,746.428,67.53217767110685,1.0,0.005615082346607799,,1.0,,0.9999999994637264,0
14,delta_mean,701.1472,666.5644339697886,0.5252745405608521,0.9871202133868154,,,-0.99999883977385,,0
14,delta_mean + delta_var,314.9374,209.7681158630859,0.9524676314720298,0.1632906910504561,,,0.044801065171688116,-0.22175731377621102,0
14,delta_var,388.6814,27.09054860184763,0.9253362811467516,0.11852816781170565,,,,-1.0,0
14,mean,325.5548,71.1213068923156,0.13772855557108227,,0.0943186593026378,,,,0
14,mean + delta_mean,325.1604,542.2799815336857,0.07059650684379601,0.2314988511676146,0.012026868266839515,,0.015845055126135987,,0
14,mean + delta_mean + delta_var,268.0318,114.95999580562791,0.07567832385642873,0.20593665996459276,0.02215480063777232,,-0.2824638071887707,0.9999974943650116,0
14,mean + delta_var,703.1472,842.3683438941832,0.06396562141923713,0.2738393938694964,0.0058386348776628145,,,0.052620117555537166,0
14,mean + var,323.436,646.9358534725818,0.13709490841761898,,0.008087699364516658,-0.007953172452538602,,,0
14,mean + var + delta_mean,705.1472,76.9346512017982,0.13649779400970352,0.26857041808062865,0.06682138887311544,-0.09032782041112468,-0.0557783131833427,,0
14,mean + var + delta_mean + delta_var,707.1472,194.1703378078079,0.14131895054865384,0.6677544284536506,0.03791899163070188,-0.12178835446517312,0.2945046237776951,-0.9984765062499718,0
14,mean + var + delta_var,349.6378,59.33571247508205,0.13709458591307278,0.0,0.08817994181122098,-0.7330870563686653,,-0.6463737984850364,0
14,var,496.486,104.83813615079436,0.08751532636596493,,,-0.1857772356711193,,,0
14,var + delta_mean,703.1472,353.6857735173552,0.10491872224968564,0.34449189396900576,,-0.06265245667012212,-0.028593639875426,,0
14,var + delta_mean + delta_var,683.8158,443.54074412940383,0.1492415425318794,0.004587760739537095,,-1.0,-0.04784186562663145,-0.8667032262625977,0
14,var + delta_var,390.6814,213.5872697077341,0.8857894099198395,0.12767878061570098,,-0.03624657451594846,,-0.1281844379891416,0
16,delta_mean,701.1472,284.5925456250232,0.9988188745624732,0.00017041804201827748,,,-1.0,,0
16,delta_mean + delta_var,703.1472,1000.0,0.9997735250370028,0.0012446876635662724,,,0.00579251820484194,-1.0,0
16,delta_var,701.1472,152.82646588182718,0.8956101988853535,0.2347870435507777,,,,-0.07554006608551128,0
16,mean,699.1472,720.9823474190689,0.4683414401618098,,0.004692031015027301,,,,0
16,mean + delta_mean,703.1472,984.484268801564,0.4178910959211293,0.9886843851888564,0.006267739715871882,,0.9999937451529108,,0
16,mean + delta_mean + delta_var,705.1472,1000.0,0.030499890476834463,0.666741346257169,0.05732706591274023,,0.3473005239673565,-0.9477998122969454,0
16,mean + delta_var,703.1472,97.18630864892825,0.4517375211864251,0.24706699226555384,0.04244391005450219,,,0.11397779500973662,0
16,mean + var,474.9278,100.01197431815731,0.15432560244158794,,0.12321288153352372,0.23644457406265346,,,0
16,mean + var + delta_mean,705.1472,235.4678941417411,0.09067766473597054,0.0,0.11647846343167555,0.6541439076799485,0.2162938755099976,,0
16,mean + var + delta_mean + delta_var,707.1472,1000.0,0.0443007381815902,0.10614100717131864,0.046775234211508726,-0.6618855840240526,0.0996008853193161,-1.0,0
16,mean + var + delta_var,231.986,140.83190518909484,0.21970573113037645,0.40193201916896987,0.1460521710274897,0.3480781593373464,,1.0,0
16,var,492.0944,1000.0,0.0011469183888524574,,,-1.0,,,0
16,var + delta_mean,491.7398,787.8799136532186,0.0007539277739386035,0.9335014368065794,,-0.9688382071792762,1.0,,0
16,var + delta_mean + delta_var,498.4398,508.3850601394371,0.0008257307291711928,0.90129619762292,,-0.9768901407574088,0.9999999998249876,0.9787808700608848,0
16,var + delta_var,703.1472,688.784501508979,0.0009689042345501275,0.0,,-1.0,,1.0,0
17,delta_mean,703.9198,122.24054515866527,0.5072044603402827,0.9517390354235608,,,0.9535789357186676,,0
17,delta_mean + delta_var,705.9198,645.896457608134,1.0,0.9999770262415756,,,-1.0,-1.0,0
